Authors,Author full names,Author(s) ID,Title,Year,Source title,Cited by,DOI,Link,Abstract,Index Keywords,Search_Etiquette
Varpio L.; Grassau P.; Hall P.,"Varpio, Lara (20735418900); Grassau, Pamela (13605162300); Hall, Pippa (7403695101)",20735418900; 13605162300; 7403695101,Looking and listening for learning in arts- and humanities-based creations,2017,Medical Education,6,10.1111/medu.13125,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006760591&doi=10.1111%2fmedu.13125&partnerID=40&md5=48af736a2d863a9377bfc132d27af1a0,"Context: The arts and humanities are gradually gaining a foothold in health professions education as a means of supporting the development of future clinicians who are compassionate, critical and reflexive thinkers, while also strengthening clinical skills and practices that emphasise patient-centredness, collaboration and interprofessional practices. Assignments that tap into trainee creativity are increasingly used both to prepare learners for the demands of clinical work and to understand the personal and professional challenges learners face in these contexts. Health professions educators need methods for interpreting these creations in order to understand each learner's expressions. This paper describes two theoretical frameworks that can be used to understand trainees’ unique learning experiences as they are expressed in arts- and humanities-based creations. Methods: The authors introduce the philosophical underpinnings and interpretation procedures of two theoretical frameworks that enable educators to ‘hear’ and ‘see’ the multilayered expressions embedded within arts- and humanities-based student creations: Gilligan's Listening Guide and Kress and van Leeuwen's approach to visual rhetoric. To illustrate how these frameworks can be used, the authors apply them to two creative summaries that learners made as part of a humanities-informed, interprofessional education intervention that took place in a non-acute-care teaching hospital. The interpretations of two creative summaries, a poem and a pair of paintings, highlight how applying these theoretical frameworks can offer important insights into learners’ experiences. Conclusions: This cross-cutting edge paper describes how the Listening Guide and visual rhetoric can help health professions educators listen to and read the arts- and humanities-based creative expressions made by learners. Insights gained from these interpretations can advance the understanding of students’ personal experiences in different learning environments and can inform curriculum development. © 2016 John Wiley & Sons Ltd and The Association for the Study of Medical Education","Art; Clinical Competence; Communication; Comprehension; Curriculum; Education, Medical, Undergraduate; Humanities; Humans; Learning; Poetry as Topic; conceptual framework; curriculum development; human; human experiment; learning environment; occupation; painting; personal experience; student; teaching hospital; art; clinical competence; comprehension; curriculum; education; humanities; interpersonal communication; learning; literature; medical education; procedures; standards",Arts and Humanities
Kera D.,"Kera, Denisa (36089080400)",36089080400,"From data realism to dada aggregations: Visualizations in digital art, humanities and popular culture",2010,Proceedings of the International Conference on Information Visualisation,3,10.1109/IV.2010.99,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78449272177&doi=10.1109%2fIV.2010.99&partnerID=40&md5=fe47e8654333b68d20b4386748e8654e,"The orientation towards data in arts, humanities and pop culture in recent years brings a renewed interest in realism and iconoclasm. The various APIs (Application programming interfaces) and mashups that are employed in these traditionally ""qualitative"" disciplines offer tools for creative and often critical interpretations. Data are becoming means of a critical distance to the visual and media saturated world that bring whole new perspective on our everyday life and reality. These emerging critical and visual practices define a realism based on data rather than on human perception, reason or some strong ontological theses. This data oriented realism does not simply represent reality but performs the modern processes of its construction with an almost iconoclastic fervor. It offers a distance from the power and seduction of the (digital) image and asks questions about their conditions of possibility, methods of gathering and the various possibilities of their representation. Visualization of various data in the form of popular user generated mashups, serious art visualizations and new digital methods in humanities create a tension between the new forms of iconoclastic realism and the more playful dada collage techniques that are satirical and rather than realist and emancipatory rather than iconoclastic. The use of visualizations in art, humanities and online popular culture (cyberculture) is defined by this tension between data realism to dada ""aggregations"". © 2010 IEEE.",Application programming interfaces (API); Visualization; API; Art; Collage; Critical distance; Dada; Data; Mash-up; Realis; Data visualization,Arts and Humanities
Dumitru D.,"Dumitru, Daniela (55149864300)",55149864300,"Creating meaning. The importance of Arts, Humanities and Culture for critical thinking development",2019,Studies in Higher Education,37,10.1080/03075079.2019.1586345,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062767462&doi=10.1080%2f03075079.2019.1586345&partnerID=40&md5=b8cb2b757185432314a3d48dbf563c7c,"This paper discusses the need for Arts, Humanities and Cultural Studies to be widely studied within Higher Education. Research shows that such topics are necessary for the development of critical thinking, this type of analysis being innate to these domains. In this paper, I introduce the concept of creating meaning, which I define as the link between creative thinking and critical thinking and as the first attribute of a critical thinker. Before making inferences, judgements or decisions, one must identify the framework of a problem, determine the parameters of the discussion and reflect upon assumptions. These are propaedeutic to a good discussion and are prerequisites of a good critical thinker. Arguing that creativity is not a separate process from critical thinking, I aim to demonstrate that the Arts, Humanities and Cultural Studies are the promoters of critical thinking. Because disciplines in these fields are likely to create environments that foster critical thinking and encourage the production of meaning, I argue that these necessarily belong in all curricula of Higher Education. © 2019, © 2019 Society for Research into Higher Education.",,Arts and Humanities
Kheria S.; Waelde C.; Levin N.,"Kheria, Smita (57202066826); Waelde, Charlotte (55105160600); Levin, Nadine (57202066797)",57202066826; 55105160600; 57202066797,Digital transformations in the arts and humanities: Negotiating the copyright landscape in the United Kingdom,2018,"The Routledge Companion to Media Education, Copyright, and Fair Use",0,10.4324/9781315637549,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047050277&doi=10.4324%2f9781315637549&partnerID=40&md5=812840b14f139b309eb930a6577f2069,"How do researchers negotiate and navigate the legal landscape in the United Kingdom in order to obtain and use materials for creative and transformative use? We explore how arts and humanities researchers engage with copyright during the research process and in the production of creative works and what copyright-related challenges emerge. We use findings from a pilot project titled Copyright and Publicly-Funded Arts and Humanities Research, in which we examined six academic research projects as case studies in order to highlight two types of challenges: (1) the challenges faced by arts and humanities researchers in accessing material held in archives that is both in and out of copyright; and (2) challenges posed by the exceptions to copyright during research processes. We conclude, consistent with the existing albeit limited empirical research on copyright exceptions, that arts and humanities researchers find the copyright framework in the UK to be challenging in practice, especially in their pursuit to develop innovative and transformative research. © 2018 Taylor and Francis.",,Arts and Humanities
Tay L.; Pawelski J.O.; Keith M.G.,"Tay, Louis (34870886500); Pawelski, James O. (6507158507); Keith, Melissa G. (57188977578)",34870886500; 6507158507; 57188977578,The role of the arts and humanities in human flourishing: A conceptual model,2018,Journal of Positive Psychology,100,10.1080/17439760.2017.1279207,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009473761&doi=10.1080%2f17439760.2017.1279207&partnerID=40&md5=c4f3a4b5e55f8cd723f47b31b05ca59c,"There is much debate on the value of the arts and humanities in our society. Each side provides strong arguments, but there has been little empirical research to draw on. A key reason for the lack of scientific evidence is the absence of a conceptual model on which to base investigations of the ways the arts and the humanities might contribute to human flourishing. To address this, we present a model to demarcate the domain of the arts and humanities by means of an extensional definition (e.g. majors, disciplines, and occupations) integrated with a functional analysis (i.e. modes of engagement and activities of involvement). We suggest immersion, embeddedness, socialisation, and reflectiveness as mechanisms by which the arts and humanities may enhance various forms of human flourishing. We conclude with implications of the model and ideas for future research to investigate the effects of the arts and humanities on human flourishing. © 2017 Informa UK Limited, trading as Taylor & Francis Group.",human; humanities; immersion; model; neurology; occupation; physiology; wellbeing,Arts and Humanities
Shim Y.,"Shim, Yerin (57216597155)",57216597155,Toward a Contextual Model of Arts and Humanities Engagement and Human Flourishing,2022,The Oxford Handbook of the Positive Humanities,2,10.1093/oxfordhb/9780190064570.013.37,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138921409&doi=10.1093%2foxfordhb%2f9780190064570.013.37&partnerID=40&md5=3a60ba918ca9ebbe0d7c288796dad95d,"Whether engagement with the arts and humanities leads to human flourishing remains a compelling yet undertested question in the extant literature. This chapter argues that people commonly engage with the arts and humanities across various life domains, such as education, work, leisure, and health; and that there are multiple moderated pathways through which these engagements with the arts and humanities may or may not lead to flourishing outcomes in individuals, based on a variety of individual and sociocultural contextual factors. Thus, this chapter makes a case for the need of a contextual model of arts and humanities engagement and human flourishing that considers the impact of personal characteristics, as well as immediate and broader sociocultural contexts. Relevant existing empirical research, current gaps in the literature, and avenues for future research are explored. © Oxford University Press 2021. All rights reserved.",,Arts and Humanities
Vallerand R.J.; Sverdlik A.; Bonneville-Roussy A.,"Vallerand, Robert J. (7004358762); Sverdlik, Anna (6505864916); Bonneville-Roussy, Arielle (36664252900)",7004358762; 6505864916; 36664252900,The Role of Passion in the Arts and Humanities: How Quality of Engagement Matters,2022,The Oxford Handbook of the Positive Humanities,5,10.1093/oxfordhb/9780190064570.013.34,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124904304&doi=10.1093%2foxfordhb%2f9780190064570.013.34&partnerID=40&md5=b56fdc679184e91b609a523bdf633ca0,"The arts and humanities are prevalent sources of passion. Whether it is through performing them or appreciating the performance of others, the type of passion that individuals have for the arts and humanities can shape a variety of outcomes. Following the model proposed by Tay, Pawelski, and colleagues (2018, 2019), the present chapter documents the role of passion for the arts and humanities in personal outcomes such as emotions, creativity, performance, well-being, and identity processes. Research on passion for the arts and humanities demonstrates that the type of passion matters: while engaging in the arts and humanities out of harmonious passion leads to adaptive outcomes and even protects against negative ones, being obsessively passionate may be maladaptive. Thus, while engagement in the arts and humanities has the potential to contribute to human flourishing, the quality of engagement matters for those who are passionate about these domains. © Oxford University Press 2021. All rights reserved.",,Arts and Humanities
Cotán A.; Carballo R.; Spinola-Elias Y.,"Cotán, Almudena (57211607718); Carballo, Rafael (35748617200); Spinola-Elias, Yolanda (57211602166)",57211607718; 35748617200; 57211602166,Giving a voice to the best faculty members: benefits of digital resources for the inclusion of all students in Arts and Humanities,2024,International Journal of Inclusive Education,4,10.1080/13603116.2021.1991492,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118458174&doi=10.1080%2f13603116.2021.1991492&partnerID=40&md5=f609d5ad797cdeb2d3303d017d55c495,"This article presents the testimonies of 24 faculty members of Arts and Humanities from five Spanish universities on the use of digital technology resources and their benefits for learning and educational inclusion of students with disabilities. They were selected by their own students with disabilities for their inclusive practices. Using a qualitative methodology, two semi-structured individual interviews were conducted with each participant to analyse different areas of inclusive pedagogy: beliefs, knowledge, designs and actions. The data were progressively analysed through a system of categories and inductive codes. The results show the digital resources that faculty members put into practice, as well as the different uses they make of them. In addition, the participants highlighted a number of benefits that digital technology has for the learning of all students, including those with disabilities. Finally, these results are discussed with those of previous studies, offering recommendations for the university to move toward a more inclusive education. © 2021 Informa UK Limited, trading as Taylor & Francis Group.",,Arts and Humanities
Wang W.-M.; Ho Y.-S.,"Wang, Wei-Ming (57193769760); Ho, Yuh-Shan (7402554934)",57193769760; 7402554934,Bibliometric analysis of art exhibit reviews in the Arts & Humanities Citation Index,2017,Malaysian Journal of Library and Information Science,4,10.22452/mjlis.vol22no1.5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016462914&doi=10.22452%2fmjlis.vol22no1.5&partnerID=40&md5=3952c75437486a714cca31810a822e7e,"Art exhibit reviews is one of document types in the Arts & Humanities Citation Index (A & HCI). Art exhibit reviews in A & HCI from 1994 to 2013 were analyzed in terms of languages, publication output, authors, Web of Science categories, journals, and art exhibit reviews' title. Most of the art exhibit reviews were contributed by only one author. Authors prefer to publish their art exhibit reviews in the same journal. The editor of Magazine Antiques, A.E. Ledes, the editors of Art in America and Connaissance des Arts were high productive authors. Art was the leading subject category with a great majority of art exhibit reviews. More than a half of art exhibit reviews were published in Art in America, Artnews, Connaissance des Arts, Artforum International, and Burlington Magazine. Artists, art, new, world, modern, museum, and collection were the most frequently used in art exhibit reviews' title.",,Arts and Humanities
Nwagwu W.; Egbon O.,"Nwagwu, Williams (15047060400); Egbon, Osakioduwa (57214277750)",15047060400; 57214277750,Bibliometric analysis of Nigeria's social science and arts and humanities publications in Thomson Scientific databases,2011,Electronic Library,15,10.1108/02640471111156722,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054889688&doi=10.1108%2f02640471111156722&partnerID=40&md5=f0ce3192217ed3d0c810b86639826d74,"Purpose - This paper seeks to analyse publications on Nigeria indexed in Arts and Humanities Citation Index (AHCI) and Social Science Citation Index (SSCI) of Thomson Scientific databases respectively to understand the international perspective of aspects of research publication dynamics in both fields. Design/methodology/approach - Data covering the period 2002-2007 were collected from the SSCI and AHCI of the Web of Science, an online service of Thomson Scientific in June 2008. Findings - SSCI and AHCI indexed a total of 716 publications on Nigeria, 634 and 82 respectively. Paper production in each of these fields rose during 2002 to 2004 and 2005 respectively, and then started dropping. The publications received a total of 1,371 citations; the 82 AHCI documents received only six citations, while the 634 SSCI publications received 1,366 citations, equivalent to means of 0.06 and 2.15 citations per AHCI and SSCI document respectively. Only 6.1 per cent of the AHCI documents were cited compared with 46.7 per cent of SSCI publications; but citation of social science papers was consistently on the increase, while citation of arts and humanities publications, flattened in 200 humanities, was consistently on the increase. In both fields, article type of papers written in English dominated. Research limitations/implications - This research covers only a period of six years; a fuller picture would be obtained with a longer period. Practical implications - Publications in sources listed in international databases could illustrate the extent to which Nigerian scholars have addressed issues of global relevance. Originality/value - The paper uncovers the international status and perspective of Nigerian publications in social science and arts and humanities disciplines. © Emerald Group Publishing Limited.",,Arts and Humanities
